module,type,name,res_id,src,value,comments
openacademy,model,"ir.ui.view,arch_db",openacademy.session_calendar_view,Session Calendar,Session Calendar,
openacademy,model,"ir.actions.act_window,name",openacademy.open_board_session,Session Dashboard,Session Dashboard,
openacademy,model,"ir.ui.menu,name",openacademy.menu_board_session,Session Dashboard,Session Dashboard,
openacademy,model,"ir.ui.view,arch_db",openacademy.board_session_form,Session Dashboard,Session Dashboard,
openacademy,model,"ir.ui.view,arch_db",openacademy.session_form_view,Session Form,Session Form,
openacademy,model,"ir.ui.view,arch_db",openacademy.session_gantt_view,Session Gantt,Session Gantt,
openacademy,model,"ir.actions.report.xml,name",openacademy.report_session,Session Report,Session Report,
openacademy,model,"ir.ui.view,arch_db",openacademy.session_tree_view,Session Tree,Session Tree,
openacademy,model,"ir.ui.view,arch_db",openacademy.view_openacad_session_kanban,Session name:,Session name:,
openacademy,model,"ir.actions.act_window,name",openacademy.act_session_calendar,Sessions,Sessions,
openacademy,model,"ir.actions.act_window,name",openacademy.session_list_action,Sessions,Sessions,
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_course_session_ids,Sessions,Sessions,
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_wizard_session_ids,Sessions,Sessions,
openacademy,model,"ir.ui.menu,name",openacademy.session_menu,Sessions,Sessions,
openacademy,model,"ir.ui.view,arch_db",openacademy.board_session_form,Sessions,Sessions,
openacademy,model,"ir.ui.view,arch_db",openacademy.course_form_view,Sessions,Sessions,
openacademy,model,"ir.ui.view,arch_db",openacademy.partner_instructor_form_view,Sessions,Sessions,
openacademy,model,"ir.actions.server,name",openacademy.set_session_to_confirmed,Set session to Confirmed,Set session to Confirmed,
openacademy,model,"ir.actions.server,name",openacademy.set_session_to_done,Set session to Done,Set session to Done,
openacademy,model,"ir.actions.server,name",openacademy.set_session_to_draft,Set session to Draft,Set session to Draft,
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_session_start_date,Start date,Start date,
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_session_state,State,Регион,
openacademy,model,"ir.ui.view,arch_db",openacademy.wizard_form_view,Subscribe,Subscribe,
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_session_taken_seats,Taken seats,Taken seats,
openacademy,model,"res.partner.category,name",openacademy.teacher1,Teacher / Level 1,Teacher / Level 1,
openacademy,model,"res.partner.category,name",openacademy.teacher2,Teacher / Level 2,Teacher / Level 2,
openacademy,sql_constraint,openacademy.course,0,The course title must be unique,The course title must be unique,
openacademy,sql_constraint,openacademy.course,0,The title of the course should not be the description,The title of the course should not be the description,
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_course_name,Title,Обращение,
openacademy,model,"ir.model,name",openacademy.model_openacademy_course,openacademy.course,openacademy.course,
openacademy,model,"ir.model,name",openacademy.model_openacademy_session,openacademy.session,openacademy.session,
openacademy,model,"ir.model,name",openacademy.model_openacademy_wizard,openacademy.wizard,openacademy.wizard,
openacademy,model,"ir.ui.view,arch_db",openacademy.wizard_form_view,or,or,
openacademy,model,"ir.ui.view,arch_db",openacademy.report_session_view,to,to,
